Date : 2026-03-28 21:52:26
Directory : f:\Aero\AEROPS
Total : 148 files,  21353 codes, 38 comments, 2244 blanks, all 23635 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| f:\Aero\AEROPS\Frontend\src\components\ui\input.tsx           | TypeScript JSX     |         19 |          0 |          4 |         23 |
| f:\Aero\AEROPS\Frontend\src\components\ui\label.tsx           | TypeScript JSX     |         13 |          0 |          5 |         18 |
| f:\Aero\AEROPS\Frontend\src\components\ui\menubar.tsx         | TypeScript JSX     |        189 |          0 |         19 |        208 |
| f:\Aero\AEROPS\Frontend\src\components\ui\navigation-menu.tsx | TypeScript JSX     |        109 |          0 |         12 |        121 |
| f:\Aero\AEROPS\Frontend\src\components\ui\pagination.tsx      | TypeScript JSX     |         71 |          0 |         11 |         82 |
| f:\Aero\AEROPS\Frontend\src\components\ui\popover.tsx         | TypeScript JSX     |         24 |          0 |          6 |         30 |
| f:\Aero\AEROPS\Frontend\src\components\ui\progress.tsx        | TypeScript JSX     |         20 |          0 |          4 |         24 |
| f:\Aero\AEROPS\Frontend\src\components\ui\radio-group.tsx     | TypeScript JSX     |         32 |          0 |          5 |         37 |
| f:\Aero\AEROPS\Frontend\src\components\ui\resizable.tsx       | TypeScript JSX     |         32 |          0 |          6 |         38 |
| f:\Aero\AEROPS\Frontend\src\components\ui\scroll-area.tsx     | TypeScript JSX     |         34 |          0 |          5 |         39 |
| f:\Aero\AEROPS\Frontend\src\components\ui\select.tsx          | TypeScript JSX     |        130 |          0 |         14 |        144 |
| f:\Aero\AEROPS\Frontend\src\components\ui\separator.tsx       | TypeScript JSX     |         17 |          0 |          4 |         21 |
| f:\Aero\AEROPS\Frontend\src\components\ui\sheet.tsx           | TypeScript JSX     |         93 |          0 |         15 |        108 |
| f:\Aero\AEROPS\Frontend\src\components\ui\sidebar.tsx         | TypeScript JSX     |        572 |         12 |         54 |        638 |
| f:\Aero\AEROPS\Frontend\src\components\ui\skeleton.tsx        | TypeScript JSX     |          5 |          0 |          3 |          8 |
| f:\Aero\AEROPS\Frontend\src\components\ui\slider.tsx          | TypeScript JSX     |         20 |          0 |          4 |         24 |
| f:\Aero\AEROPS\Frontend\src\components\ui\sonner.tsx          | TypeScript JSX     |         23 |          0 |          5 |         28 |
| f:\Aero\AEROPS\Frontend\src\components\ui\switch.tsx          | TypeScript JSX     |         24 |          0 |          4 |         28 |
| f:\Aero\AEROPS\Frontend\src\components\ui\table.tsx           | TypeScript JSX     |         62 |          0 |         11 |         73 |
| f:\Aero\AEROPS\Frontend\src\components\ui\tabs.tsx            | TypeScript JSX     |         47 |          0 |          7 |         54 |
| f:\Aero\AEROPS\Frontend\src\components\ui\textarea.tsx        | TypeScript JSX     |         17 |          0 |          5 |         22 |
| f:\Aero\AEROPS\Frontend\src\components\ui\toast.tsx           | TypeScript JSX     |         99 |          0 |         13 |        112 |
| f:\Aero\AEROPS\Frontend\src\components\ui\toaster.tsx         | TypeScript JSX     |         22 |          0 |          3 |         25 |
| f:\Aero\AEROPS\Frontend\src\components\ui\toggle-group.tsx    | TypeScript JSX     |         41 |          0 |          9 |         50 |
| f:\Aero\AEROPS\Frontend\src\components\ui\toggle.tsx          | TypeScript JSX     |         32 |          0 |          6 |         38 |
| f:\Aero\AEROPS\Frontend\src\components\ui\tooltip.tsx         | TypeScript JSX     |         22 |          0 |          7 |         29 |
| f:\Aero\AEROPS\Frontend\src\components\ui\use-toast.ts        | TypeScript         |          2 |          0 |          2 |          4 |
| f:\Aero\AEROPS\Frontend\src\hooks\use-mobile.tsx              | TypeScript JSX     |         15 |          0 |          5 |         20 |
| f:\Aero\AEROPS\Frontend\src\hooks\use-toast.ts                | TypeScript         |        154 |          2 |         31 |        187 |
| f:\Aero\AEROPS\Frontend\src\index.css                         | PostCSS            |         80 |          1 |         19 |        100 |
| f:\Aero\AEROPS\Frontend\src\lib\api.ts                        | TypeScript         |        206 |          0 |         21 |        227 |
| f:\Aero\AEROPS\Frontend\src\lib\utils.ts                      | TypeScript         |          5 |          0 |          2 |          7 |
| f:\Aero\AEROPS\Frontend\src\main.tsx                          | TypeScript JSX     |          4 |          0 |          2 |          6 |
| f:\Aero\AEROPS\Frontend\src\pages\AddAircraft.tsx             | TypeScript JSX     |         77 |          0 |          7 |         84 |
| f:\Aero\AEROPS\Frontend\src\pages\AddEngineer.tsx             | TypeScript JSX     |        118 |          0 |         12 |        130 |
| f:\Aero\AEROPS\Frontend\src\pages\AddPilot.tsx                | TypeScript JSX     |        296 |          0 |         16 |        312 |
| f:\Aero\AEROPS\Frontend\src\pages\AircraftDetail.tsx          | TypeScript JSX     |        152 |          0 |         26 |        178 |
| f:\Aero\AEROPS\Frontend\src\pages\AircraftInfo.tsx            | TypeScript JSX     |         59 |          0 |          8 |         67 |
| f:\Aero\AEROPS\Frontend\src\pages\EngineerDetail.tsx          | TypeScript JSX     |        176 |          0 |         16 |        192 |
| f:\Aero\AEROPS\Frontend\src\pages\EngineerInfo.tsx            | TypeScript JSX     |         75 |          0 |          9 |         84 |
| f:\Aero\AEROPS\Frontend\src\pages\Index.tsx                   | TypeScript JSX     |          9 |          4 |          4 |         17 |
| f:\Aero\AEROPS\Frontend\src\pages\MainMenu.tsx                | TypeScript JSX     |         83 |          2 |          7 |         92 |
| f:\Aero\AEROPS\Frontend\src\pages\NotFound.tsx                | TypeScript JSX     |         20 |          0 |          5 |         25 |
| f:\Aero\AEROPS\Frontend\src\pages\PilotDetail.tsx             | TypeScript JSX     |        218 |          0 |         12 |        230 |
| f:\Aero\AEROPS\Frontend\src\pages\PilotInfo.tsx               | TypeScript JSX     |         75 |          0 |          9 |         84 |
| f:\Aero\AEROPS\Frontend\src\pages\PinEntry.tsx                | TypeScript JSX     |        104 |          0 |         12 |        116 |
| f:\Aero\AEROPS\Frontend\src\pages\Simulation.tsx              | TypeScript JSX     |        631 |          0 |         72 |        703 |
| f:\Aero\AEROPS\Frontend\src\pages\Training.tsx                | TypeScript JSX     |        219 |          0 |         27 |        246 |
| f:\Aero\AEROPS\Frontend\src\test\example.test.ts              | TypeScript         |          6 |          0 |          2 |          8 |
| f:\Aero\AEROPS\Frontend\src\test\setup.ts                     | TypeScript         |         14 |          0 |          2 |         16 |
| f:\Aero\AEROPS\Frontend\src\types\reactjs-human-body.d.ts     | TypeScript         |         12 |          0 |          4 |         16 |
| f:\Aero\AEROPS\Frontend\src\vite-env.d.ts                     | TypeScript         |          0 |          1 |          1 |          2 |
| f:\Aero\AEROPS\Frontend\tailwind.config.ts                    | TypeScript         |         90 |          0 |          2 |         92 |
| f:\Aero\AEROPS\Frontend\tsconfig.app.json                     | JSON               |         35 |          0 |          0 |         35 |
| f:\Aero\AEROPS\Frontend\tsconfig.json                         | JSON with Comments |         24 |          0 |          0 |         24 |
| f:\Aero\AEROPS\Frontend\tsconfig.node.json                    | JSON               |         18 |          2 |          3 |         23 |
| f:\Aero\AEROPS\Frontend\vite.config.ts                        | TypeScript         |         26 |          1 |          2 |         29 |
| f:\Aero\AEROPS\Frontend\vitest.config.ts                      | TypeScript         |         15 |          0 |          2 |         17 |
| f:\Aero\AEROPS\sim_logic\App.css                              | PostCSS            |        370 |          0 |         69 |        439 |
| f:\Aero\AEROPS\sim_logic\App.jsx                              | JavaScript JSX     |        491 |          0 |         75 |        566 |
| f:\Aero\AEROPS\sim_logic\assets\react.svg                     | XML                |          1 |          0 |          0 |          1 |
| f:\Aero\AEROPS\sim_logic\assets\vite.svg                      | XML                |          1 |          0 |          1 |          2 |
| f:\Aero\AEROPS\sim_logic\components\ControlPanel.jsx          | JavaScript JSX     |        274 |          0 |         22 |        296 |
| f:\Aero\AEROPS\sim_logic\components\MapView.jsx               | JavaScript JSX     |        156 |          0 |         21 |        177 |
| f:\Aero\AEROPS\sim_logic\components\MissionTimeline.jsx       | JavaScript JSX     |         26 |          0 |          3 |         29 |
| f:\Aero\AEROPS\sim_logic\components\ResultPanel.jsx           | JavaScript JSX     |        113 |          0 |          8 |        121 |
| f:\Aero\AEROPS\sim_logic\data\airspaces.json                  | JSON               |         35 |          0 |          1 |         36 |
| f:\Aero\AEROPS\sim_logic\data\equipment.json                  | JSON               |         42 |          0 |          1 |         43 |
| f:\Aero\AEROPS\sim_logic\data\targets.json                    | JSON               |         23 |          0 |          1 |         24 |
| f:\Aero\AEROPS\sim_logic\data\team.json                       | JSON               |         74 |          0 |          1 |         75 |
| f:\Aero\AEROPS\sim_logic\index.css                            | PostCSS            |         30 |          0 |          4 |         34 |
| f:\Aero\AEROPS\sim_logic\main.jsx                             | JavaScript JSX     |         10 |          0 |          2 |         12 |
| f:\Aero\AEROPS\sim_logic\utils\simulation.js                  | JavaScript         |        607 |          0 |        118 |        725 |
| Total                                                         |                    |     21,353 |         38 |      2,244 |     23,635 |
+---------------------------------------------------------------+--------------------+------------+------------+------------+------------+
